# TStellate_CT2 Optimisation
# Monday 5 November  23:11:24 EST 2012
 
#param.w.x[lsr][ts] = 0.00362462	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.002329	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000116176	[1e-07,0.3]
#param.w.x[tv][ts] = 0.0004617	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000503486	[1e-07,0.3]
#param.ts_gleak = 0.000473644	[5e-05,0.005]
#param.ts_erev = -64.985	[0.03,0.08]
# final error=20.061806
# Time	Error Vec	 Reference Vec (mV)
9.30	-48.941476	-58.904930
9.40	-49.212042	-58.875604
9.50	-49.482608	-58.843569
9.60	-49.753174	-58.810109
9.70	-50.023740	-58.776394
9.80	-50.294305	-58.741328
9.90	-50.564871	-58.698614
10.00	-50.214268	-58.642394
10.10	-49.825649	-58.579371
10.20	-49.437030	-58.519563
10.30	-49.048411	-58.465898
10.40	-48.659792	-58.406517
10.50	-48.271173	-58.327061
10.60	-46.100213	-58.199063
10.70	-40.244893	-57.922502
10.80	-41.384301	-57.767632
10.90	-42.523708	-57.704271
11.00	-43.663116	-57.863020
11.10	-44.802523	-57.958357
11.20	-45.941931	-57.774354
11.30	-47.081338	-57.832685
11.40	-48.220746	-57.829126
11.50	-49.331294	-58.042040
11.60	-49.758492	-57.982254
11.70	-50.185689	-58.126077
11.80	-50.612886	-58.180484
11.90	-51.040084	-58.523643
12.00	-51.467281	-58.759090
12.10	-51.705661	-58.905664
12.20	-51.605840	-58.974441
12.30	-51.506018	-59.006843
12.40	-51.406196	-59.019930
12.50	-51.306374	-59.022757
12.60	-51.179882	-59.022923
12.70	-50.708634	-59.021426
12.80	-50.237386	-59.019051
12.90	-49.766137	-59.014621
13.00	-49.871782	-59.003588
13.10	-50.210321	-58.981896
13.20	-50.548861	-58.952474
13.30	-50.887400	-58.921844
13.40	-51.225939	-58.890376
13.50	-51.476719	-58.854793
13.60	-50.944894	-58.811292
13.70	-50.413068	-58.760786
13.80	-49.881242	-58.708848
13.90	-49.349416	-58.655349
14.00	-48.817590	-58.597322
14.10	-48.285764	-58.533319
14.20	-47.753938	-58.456763
14.30	-47.222112	-58.348372
